gbifID,scientificName,acceptedName,decimalLongitude,decimalLatitude,countryCode,Native,basisOfRecord
manual1,Eugenia aff. moschata,Eugenia aff. moschata,-59.98,-2.912944,,,
manual2,Eugenia aff. adenocalyx,Eugenia aff. adenocalyx,-61.137194,1.706944,,,
manual3,Eugenia sp1,Eugenia sp1,,,,,
manual4,Eugenia sp2,Eugenia sp2,-52.866667,5.333333,,,
manual5,Eugenia sp3,Eugenia sp3,,,,,
manual6,Eugenia sp4,Eugenia sp4,,,,,
manual7,Eugenia sp5,Eugenia sp5,,,,,
manual8,Eugenia sp6,Eugenia sp6,,,,,
manual9,Eugenia sp7,Eugenia sp7,-43.5877777,-18.1952777,,,
manual10,Eugenia sp8,Eugenia sp8,-43.430833,-19.415,,,
manual11,Eugenia sp9,Eugenia sp9,-40.5333334,-19.95,,,
manual12,Eugenia aff. ischnosceles,Eugenia aff. ischnosceles,-40.5575,-20.126389,,,
manual13,Eugenia sp10,Eugenia sp10,-47.929699,-15.7797,,,
manual14,Eugenia sp11,Eugenia sp11,-43.808888,-18.931111,,,
manual15,Eugenia sp12,Eugenia sp12,-40.4841666,-12.3002778,,,
manual16,Eugenia sp13,Eugenia sp13,-38.140813,-12.693983,,,
manual17,Eugenia sp14,Eugenia sp14,-37.7044444,-12.0363889,,,
manual18,Eugenia sp15,Eugenia sp15,-39.006944,-12.010556,,,
manual19,Eugenia sp16,Eugenia sp16,-39.332802,-10.4378,,,
manual20,Eugenia sp17,Eugenia sp17,-40.4863889,-12.3005556,,,
manual21,Eugenia sp18,Eugenia sp18,-48.160278,-10.279444,,,
manual22,Eugenia sp19,Eugenia sp19,-45.07,-23.43,,,
